,damage taken,direction,encounter,month of departure
5279,44%,southbound,kraken,6/1398
5280,27%,southbound,sharks,6/1398
5281,39%,southbound,pirates,6/1398
5282,18%,northbound,merpeople,6/1398
5283,100%+,northbound,unknown,6/1398
5284,26%,southbound,sharks,6/1398
5285,37%,southbound,merpeople,6/1398
5286,9%,southbound,pirates,6/1398
5287,99%,northbound,nessie,6/1398
5288,100%+,southbound,unknown,6/1398
5289,88%,southbound,nessie,6/1398
5290,56%,northbound,merpeople,6/1398
5291,15%,southbound,pirates,6/1398
5292,68%,northbound,kraken,6/1398
5293,15%,southbound,pirates,6/1398
5294,100%+,southbound,unknown,6/1398
5295,33%,southbound,sharks,6/1398
5296,55%,northbound,kraken,6/1398
5297,82%,northbound,nessie,6/1398
5298,48%,northbound,kraken,6/1398
5299,100%+,southbound,unknown,6/1398
5300,50%,southbound,kraken,6/1398
5301,77%,southbound,nessie,6/1398
5302,6%,northbound,sharks,6/1398
5303,55%,northbound,kraken,6/1398
5304,90%,northbound,nessie,6/1398
5305,28%,southbound,sharks,6/1398
5306,23%,northbound,pirates,6/1398
5307,39%,northbound,merpeople,6/1398
5308,11%,southbound,merpeople,6/1398
5309,25%,northbound,pirates,6/1398
5310,74%,southbound,water elemental,6/1398
5311,42%,northbound,pirates,6/1398
5312,26%,southbound,pirates,6/1398
5313,48%,northbound,merpeople,6/1398
5314,100%+,southbound,unknown,6/1398
5315,46%,northbound,kraken,6/1398
5316,29%,northbound,pirates,6/1398
5317,81%,southbound,water elemental,6/1398
5318,54%,southbound,kraken,6/1398
5319,97%,northbound,demon whale,6/1398
5320,16%,southbound,pirates,6/1398
5321,21%,northbound,pirates,6/1398
5322,21%,southbound,pirates,6/1398
5323,19%,southbound,pirates,6/1398
5324,24%,northbound,pirates,6/1398
5325,50%,northbound,kraken,6/1398
5326,49%,southbound,pirates,6/1398
5327,16%,northbound,pirates,6/1398
5328,51%,northbound,kraken,6/1398
5329,37%,southbound,sharks,6/1398
5330,49%,northbound,pirates,6/1398
5331,39%,southbound,pirates,6/1398
5332,61%,southbound,merpeople,6/1398
5333,15%,northbound,pirates,6/1398
5334,62%,northbound,kraken,6/1398
5335,14%,northbound,pirates,6/1398
5336,100%+,southbound,unknown,6/1398
5337,100%+,southbound,unknown,6/1398
5338,47%,northbound,pirates,6/1398
5339,9%,northbound,pirates,6/1398
5340,17%,southbound,pirates,6/1398
5341,29%,northbound,sharks,6/1398
5342,24%,southbound,sharks,6/1398
5343,33%,northbound,pirates,6/1398
5344,14%,southbound,harpy,6/1398
5345,47%,northbound,pirates,6/1398
5346,49%,southbound,merpeople,6/1398
5347,89%,northbound,nessie,6/1398
5348,100%+,northbound,unknown,6/1398
5349,53%,northbound,kraken,6/1398
5350,100%+,southbound,unknown,6/1398
5351,99%,southbound,nessie,6/1398
5352,87%,southbound,nessie,6/1398
5353,39%,northbound,merpeople,6/1398
5354,82%,southbound,water elemental,6/1398
5355,43%,southbound,merpeople,6/1398
5356,37%,southbound,crabmonsters,6/1398
5357,100%+,southbound,unknown,6/1398
5358,34%,southbound,sharks,6/1398
5359,74%,northbound,water elemental,6/1398
5360,20%,southbound,sharks,6/1398
5361,26%,southbound,sharks,6/1398
5362,78%,northbound,water elemental,6/1398
5363,100%+,northbound,unknown,6/1398
5364,21%,southbound,sharks,6/1398
5365,100%+,southbound,unknown,6/1398
5366,14%,southbound,harpy,6/1398
5367,17%,southbound,pirates,6/1398
5368,18%,southbound,pirates,6/1398
5369,9%,northbound,harpy,6/1398
5370,20%,northbound,sharks,6/1398
5371,82%,southbound,water elemental,6/1398
5372,28%,southbound,pirates,6/1398
5373,100%+,southbound,unknown,6/1398
5374,42%,northbound,pirates,6/1398
5375,19%,southbound,crabmonsters,6/1398
5376,44%,northbound,kraken,6/1398
5377,79%,southbound,water elemental,6/1398
5378,21%,northbound,pirates,6/1398
5379,32%,northbound,sharks,6/1398
5380,52%,southbound,kraken,6/1398
5381,31%,northbound,pirates,6/1398
5382,17%,southbound,harpy,6/1398
5383,22%,southbound,pirates,6/1398
5384,38%,southbound,pirates,6/1398
5385,100%+,northbound,unknown,6/1398
5386,29%,southbound,sharks,6/1398
5387,100%+,northbound,unknown,6/1398
5388,34%,southbound,pirates,6/1398
5389,29%,northbound,pirates,6/1398
5390,50%,northbound,kraken,6/1398
5391,11%,northbound,sharks,6/1398
5392,42%,northbound,sharks,6/1398
5393,45%,southbound,merpeople,6/1398
5394,10%,northbound,pirates,6/1398
5395,61%,southbound,kraken,6/1398
5396,64%,northbound,kraken,6/1398
5397,49%,northbound,kraken,6/1398
5398,100%+,northbound,unknown,6/1398
5399,100%+,southbound,unknown,6/1398
5400,47%,northbound,merpeople,6/1398
5401,30%,northbound,sharks,6/1398
5402,92%,southbound,nessie,6/1398
5403,12%,northbound,pirates,6/1398
5404,21%,southbound,pirates,6/1398
5405,16%,northbound,harpy,6/1398
5406,12%,northbound,harpy,6/1398
5407,21%,southbound,pirates,6/1398
5408,47%,southbound,pirates,6/1398
5409,22%,northbound,merpeople,6/1398
5410,43%,southbound,pirates,6/1398
5411,52%,northbound,merpeople,6/1398
5412,13%,southbound,pirates,6/1398
5413,40%,southbound,kraken,6/1398
5414,100%+,northbound,unknown,6/1398
5415,26%,northbound,pirates,6/1398
5416,98%,southbound,merpeople,7/1398
5417,45%,northbound,merpeople,7/1398
5418,96%,northbound,nessie,7/1398
5419,23%,northbound,pirates,7/1398
5420,34%,northbound,sharks,7/1398
5421,100%+,northbound,unknown,7/1398
5422,47%,southbound,merpeople,7/1398
5423,19%,northbound,harpy,7/1398
5424,60%,southbound,merpeople,7/1398
5425,31%,northbound,pirates,7/1398
5426,50%,northbound,pirates,7/1398
5427,32%,southbound,pirates,7/1398
5428,37%,southbound,pirates,7/1398
5429,35%,southbound,merpeople,7/1398
5430,24%,northbound,pirates,7/1398
5431,27%,southbound,sharks,7/1398
5432,3%,southbound,crabmonsters,7/1398
5433,83%,southbound,nessie,7/1398
5434,28%,northbound,pirates,7/1398
5435,29%,northbound,sharks,7/1398
5436,91%,northbound,nessie,7/1398
5437,97%,northbound,nessie,7/1398
5438,14%,northbound,harpy,7/1398
5439,49%,southbound,pirates,7/1398
5440,28%,southbound,pirates,7/1398
5441,39%,southbound,pirates,7/1398
5442,26%,southbound,sharks,7/1398
5443,100%+,northbound,unknown,7/1398
5444,32%,southbound,pirates,7/1398
5445,30%,northbound,pirates,7/1398
5446,1%,southbound,crabmonsters,7/1398
5447,39%,southbound,crabmonsters,7/1398
5448,20%,northbound,pirates,7/1398
5449,30%,southbound,pirates,7/1398
5450,27%,northbound,sharks,7/1398
5451,28%,southbound,crabmonsters,7/1398
5452,74%,northbound,water elemental,7/1398
5453,100%+,northbound,unknown,7/1398
5454,43%,northbound,pirates,7/1398
5455,100%+,southbound,unknown,7/1398
5456,90%,northbound,nessie,7/1398
5457,24%,southbound,pirates,7/1398
5458,80%,southbound,water elemental,7/1398
5459,48%,northbound,kraken,7/1398
5460,25%,southbound,merpeople,7/1398
5461,40%,northbound,pirates,7/1398
5462,21%,southbound,pirates,7/1398
5463,15%,southbound,harpy,7/1398
5464,20%,southbound,pirates,7/1398
5465,26%,southbound,sharks,7/1398
5466,30%,southbound,merpeople,7/1398
5467,5%,northbound,crabmonsters,7/1398
5468,35%,northbound,sharks,7/1398
5469,7%,southbound,merpeople,7/1398
5470,51%,northbound,merpeople,7/1398
5471,74%,northbound,water elemental,7/1398
5472,15%,southbound,harpy,7/1398
5473,25%,northbound,sharks,7/1398
5474,94%,southbound,nessie,7/1398
5475,28%,northbound,pirates,7/1398
5476,100%+,northbound,unknown,7/1398
5477,10%,northbound,harpy,7/1398
5478,100%+,northbound,unknown,7/1398
5479,100%+,northbound,unknown,7/1398
5480,20%,northbound,pirates,7/1398
5481,17%,northbound,pirates,7/1398
5482,100%+,northbound,unknown,7/1398
5483,49%,northbound,kraken,7/1398
5484,55%,northbound,pirates,7/1398
5485,100%+,northbound,unknown,7/1398
5486,40%,northbound,pirates,7/1398
5487,27%,northbound,sharks,7/1398
5488,19%,southbound,pirates,7/1398
5489,17%,northbound,pirates,7/1398
5490,45%,southbound,pirates,7/1398
5491,20%,northbound,pirates,7/1398
5492,36%,northbound,pirates,7/1398
5493,100%+,northbound,unknown,7/1398
5494,100%+,northbound,unknown,7/1398
5495,25%,southbound,pirates,7/1398
5496,18%,northbound,harpy,7/1398
5497,22%,southbound,pirates,7/1398
5498,24%,northbound,pirates,7/1398
5499,17%,northbound,pirates,7/1398
5500,34%,northbound,pirates,7/1398
5501,42%,northbound,pirates,7/1398
5502,23%,southbound,pirates,7/1398
5503,18%,northbound,pirates,7/1398
5504,47%,northbound,merpeople,7/1398
5505,100%+,northbound,unknown,7/1398
5506,17%,southbound,pirates,7/1398
5507,15%,southbound,pirates,7/1398
5508,21%,southbound,pirates,7/1398
5509,100%+,southbound,unknown,7/1398
5510,100%+,southbound,unknown,7/1398
5511,17%,northbound,sharks,7/1398
5512,65%,northbound,merpeople,7/1398
5513,100%+,northbound,unknown,7/1398
5514,32%,northbound,sharks,7/1398
5515,100%+,southbound,unknown,7/1398
5516,100%+,southbound,unknown,7/1398
5517,63%,northbound,kraken,7/1398
5518,37%,northbound,sharks,7/1398
5519,34%,northbound,sharks,7/1398
5520,36%,northbound,pirates,7/1398
5521,11%,northbound,pirates,7/1398
5522,45%,northbound,kraken,7/1398
5523,44%,southbound,pirates,7/1398
5524,16%,northbound,sharks,7/1398
5525,7%,southbound,sharks,7/1398
5526,48%,southbound,pirates,7/1398
5527,100%+,northbound,unknown,7/1398
5528,27%,southbound,sharks,7/1398
5529,20%,northbound,pirates,7/1398
5530,100%+,northbound,unknown,7/1398
5531,22%,southbound,pirates,7/1398
5532,5%,southbound,harpy,7/1398
5533,24%,northbound,sharks,7/1398
5534,32%,southbound,pirates,7/1398
5535,74%,northbound,water elemental,7/1398
5536,25%,southbound,sharks,7/1398
5537,57%,northbound,kraken,7/1398
5538,35%,southbound,pirates,7/1398
5539,100%+,northbound,unknown,7/1398
5540,36%,northbound,kraken,7/1398
5541,22%,southbound,sharks,7/1398
5542,100%+,southbound,unknown,7/1398
5543,16%,southbound,sharks,7/1398
5544,100%+,northbound,unknown,7/1398
5545,23%,southbound,crabmonsters,7/1398
5546,26%,northbound,pirates,7/1398
5547,15%,northbound,pirates,7/1398
5548,30%,southbound,sharks,7/1398
5549,32%,northbound,pirates,7/1398
5550,87%,northbound,nessie,7/1398
5551,84%,southbound,nessie,7/1398
5552,43%,northbound,pirates,7/1398
5553,22%,southbound,harpy,7/1398
5554,18%,southbound,pirates,7/1398
5555,79%,northbound,nessie,7/1398
5556,77%,southbound,water elemental,7/1398
5557,37%,southbound,pirates,7/1398
5558,14%,northbound,pirates,7/1398
5559,42%,southbound,pirates,7/1398
5560,12%,southbound,pirates,7/1398
5561,100%+,southbound,unknown,7/1398
5562,44%,northbound,kraken,7/1398
5563,50%,southbound,merpeople,7/1398
5564,10%,southbound,harpy,7/1398
5565,45%,southbound,kraken,7/1398
5566,10%,southbound,harpy,7/1398
5567,62%,southbound,kraken,7/1398
5568,17%,southbound,pirates,7/1398
5569,15%,southbound,pirates,7/1398
5570,34%,southbound,sharks,7/1398
5571,87%,southbound,nessie,7/1398
5572,100%+,northbound,unknown,7/1398
5573,20%,northbound,pirates,7/1398
5574,44%,southbound,merpeople,7/1398
5575,52%,northbound,merpeople,7/1398
5576,18%,southbound,harpy,7/1398
5577,25%,northbound,pirates,7/1398
5578,33%,northbound,pirates,7/1398
5579,41%,northbound,merpeople,7/1398
5580,30%,southbound,pirates,7/1398
5581,11%,northbound,harpy,7/1398
5582,15%,northbound,harpy,7/1398
5583,100%+,northbound,unknown,7/1398
5584,100%+,southbound,unknown,7/1398
5585,57%,northbound,merpeople,7/1398
5586,21%,northbound,pirates,7/1398
5587,53%,southbound,pirates,7/1398
5588,74%,northbound,water elemental,7/1398
5589,34%,southbound,merpeople,7/1398
5590,100%+,northbound,unknown,7/1398
5591,82%,northbound,water elemental,7/1398
5592,8%,northbound,harpy,7/1398
5593,100%+,southbound,unknown,7/1398
5594,17%,northbound,crabmonsters,7/1398
5595,12%,northbound,harpy,7/1398
5596,100%+,southbound,unknown,7/1398
5597,21%,southbound,pirates,7/1398
5598,26%,southbound,sharks,7/1398
5599,12%,southbound,pirates,7/1398
5600,100%+,southbound,unknown,7/1398
5601,20%,northbound,pirates,7/1398
5602,81%,southbound,water elemental,7/1398
5603,44%,southbound,merpeople,7/1398
5604,13%,southbound,pirates,8/1398
5605,26%,northbound,crabmonsters,8/1398
5606,72%,southbound,merpeople,8/1398
5607,82%,northbound,nessie,8/1398
5608,34%,northbound,pirates,8/1398
5609,30%,southbound,pirates,8/1398
5610,21%,southbound,harpy,8/1398
5611,46%,southbound,pirates,8/1398
5612,54%,northbound,merpeople,8/1398
5613,67%,southbound,merpeople,8/1398
5614,21%,southbound,pirates,8/1398
5615,93%,southbound,crabmonsters,8/1398
5616,14%,northbound,merpeople,8/1398
5617,26%,southbound,sharks,8/1398
5618,77%,northbound,water elemental,8/1398
5619,32%,southbound,pirates,8/1398
5620,34%,southbound,pirates,8/1398
5621,75%,northbound,nessie,8/1398
5622,24%,southbound,sharks,8/1398
5623,100%+,northbound,unknown,8/1398
5624,70%,southbound,kraken,8/1398
5625,91%,northbound,merpeople,8/1398
5626,100%+,northbound,unknown,8/1398
5627,81%,northbound,water elemental,8/1398
5628,76%,southbound,crabmonsters,8/1398
5629,83%,southbound,water elemental,8/1398
5630,75%,northbound,water elemental,8/1398
5631,75%,southbound,water elemental,8/1398
5632,24%,northbound,pirates,8/1398
5633,44%,northbound,pirates,8/1398
5634,32%,southbound,pirates,8/1398
5635,76%,northbound,water elemental,8/1398
5636,29%,northbound,merpeople,8/1398
5637,50%,southbound,pirates,8/1398
5638,100%+,northbound,unknown,8/1398
5639,76%,southbound,crabmonsters,8/1398
5640,13%,northbound,pirates,8/1398
5641,79%,southbound,water elemental,8/1398
5642,74%,southbound,water elemental,8/1398
5643,26%,northbound,sharks,8/1398
5644,41%,southbound,merpeople,8/1398
5645,45%,southbound,kraken,8/1398
5646,47%,southbound,pirates,8/1398
5647,85%,northbound,nessie,8/1398
5648,63%,southbound,merpeople,8/1398
5649,28%,southbound,pirates,8/1398
5650,18%,southbound,pirates,8/1398
5651,45%,northbound,pirates,8/1398
5652,80%,northbound,water elemental,8/1398
5653,45%,southbound,pirates,8/1398
5654,36%,northbound,pirates,8/1398
5655,22%,southbound,pirates,8/1398
5656,28%,northbound,sharks,8/1398
5657,96%,southbound,demon whale,8/1398
5658,53%,southbound,pirates,8/1398
5659,33%,southbound,pirates,8/1398
5660,46%,southbound,pirates,8/1398
5661,43%,southbound,pirates,8/1398
5662,26%,southbound,merpeople,8/1398
5663,15%,southbound,pirates,8/1398
5664,88%,southbound,demon whale,8/1398
5665,51%,southbound,merpeople,8/1398
5666,53%,northbound,kraken,8/1398
5667,20%,southbound,harpy,8/1398
5668,9%,southbound,harpy,8/1398
5669,100%+,southbound,unknown,8/1398
5670,27%,southbound,pirates,8/1398
5671,39%,northbound,sharks,8/1398
5672,85%,northbound,water elemental,8/1398
5673,74%,southbound,water elemental,8/1398
5674,57%,southbound,kraken,8/1398
5675,45%,southbound,pirates,8/1398
5676,26%,northbound,sharks,8/1398
5677,100%+,southbound,unknown,8/1398
5678,40%,southbound,pirates,8/1398
5679,24%,southbound,pirates,8/1398
5680,22%,southbound,sharks,8/1398
5681,29%,northbound,sharks,8/1398
5682,83%,southbound,demon whale,8/1398
5683,79%,southbound,water elemental,8/1398
5684,23%,northbound,pirates,8/1398
5685,12%,southbound,pirates,8/1398
5686,100%+,southbound,unknown,8/1398
5687,84%,southbound,water elemental,8/1398
5688,59%,southbound,merpeople,8/1398
5689,21%,southbound,pirates,8/1398
5690,82%,southbound,nessie,8/1398
5691,100%+,northbound,unknown,8/1398
5692,50%,southbound,kraken,8/1398
5693,44%,southbound,merpeople,8/1398
5694,97%,southbound,demon whale,8/1398
5695,47%,southbound,pirates,8/1398
5696,33%,southbound,sharks,8/1398
5697,37%,southbound,pirates,8/1398
5698,67%,southbound,kraken,8/1398
5699,39%,northbound,pirates,8/1398
5700,9%,northbound,harpy,8/1398
5701,24%,southbound,sharks,8/1398
5702,29%,southbound,sharks,8/1398
5703,50%,southbound,crabmonsters,8/1398
5704,78%,northbound,water elemental,8/1398
5705,25%,northbound,sharks,8/1398
5706,16%,northbound,harpy,8/1398
5707,60%,southbound,kraken,8/1398
5708,18%,southbound,harpy,8/1398
5709,31%,southbound,sharks,8/1398
5710,15%,northbound,sharks,8/1398
5711,17%,southbound,sharks,8/1398
5712,54%,northbound,kraken,8/1398
5713,24%,southbound,pirates,8/1398
5714,63%,northbound,kraken,8/1398
5715,64%,northbound,kraken,8/1398
5716,10%,northbound,crabmonsters,8/1398
5717,100%+,southbound,unknown,8/1398
5718,22%,southbound,pirates,8/1398
5719,100%+,southbound,unknown,8/1398
5720,5%,northbound,harpy,8/1398
5721,14%,northbound,pirates,8/1398
5722,42%,southbound,pirates,8/1398
5723,20%,northbound,pirates,8/1398
5724,64%,northbound,kraken,8/1398
5725,45%,northbound,kraken,8/1398
5726,17%,northbound,sharks,8/1398
5727,32%,southbound,sharks,8/1398
5728,100%+,northbound,unknown,8/1398
5729,26%,northbound,sharks,8/1398
5730,81%,northbound,water elemental,8/1398
5731,93%,northbound,nessie,8/1398
5732,58%,southbound,merpeople,8/1398
5733,18%,southbound,pirates,8/1398
5734,100%+,northbound,unknown,8/1398
5735,40%,northbound,kraken,8/1398
5736,79%,southbound,water elemental,8/1398
5737,21%,northbound,sharks,8/1398
5738,12%,northbound,sharks,8/1398
5739,15%,southbound,pirates,8/1398
5740,57%,northbound,kraken,8/1398
5741,19%,southbound,harpy,8/1398
5742,75%,northbound,merpeople,8/1398
5743,55%,southbound,kraken,8/1398
5744,100%+,southbound,unknown,8/1398
5745,29%,southbound,sharks,8/1398
5746,100%+,southbound,unknown,8/1398
5747,21%,southbound,pirates,8/1398
5748,78%,northbound,water elemental,8/1398
5749,5%,northbound,pirates,8/1398
5750,18%,northbound,pirates,8/1398
5751,58%,northbound,pirates,8/1398
5752,23%,northbound,pirates,8/1398
5753,100%+,northbound,unknown,8/1398
5754,100%+,southbound,unknown,8/1398
5755,30%,southbound,pirates,8/1398
5756,20%,southbound,merpeople,8/1398
5757,35%,northbound,kraken,8/1398
5758,43%,northbound,pirates,8/1398
5759,46%,southbound,kraken,8/1398
5760,15%,southbound,harpy,8/1398
5761,31%,southbound,sharks,8/1398
5762,100%+,northbound,unknown,8/1398
5763,37%,southbound,pirates,8/1398
5764,75%,northbound,water elemental,8/1398
5765,46%,southbound,pirates,8/1398
5766,100%+,northbound,unknown,8/1398
5767,91%,northbound,demon whale,8/1398
5768,15%,northbound,pirates,8/1398
5769,54%,southbound,kraken,8/1398
5770,12%,northbound,crabmonsters,8/1398
5771,58%,northbound,kraken,8/1398
5772,12%,northbound,sharks,8/1398
5773,13%,northbound,harpy,8/1398
5774,43%,northbound,pirates,8/1398
5775,91%,northbound,crabmonsters,8/1398
5776,18%,southbound,harpy,8/1398
5777,45%,southbound,merpeople,8/1398
5778,34%,southbound,sharks,8/1398
5779,62%,northbound,merpeople,8/1398
5780,6%,northbound,merpeople,8/1398
5781,16%,southbound,pirates,8/1398
5782,20%,southbound,pirates,8/1398
5783,25%,southbound,pirates,8/1398
5784,61%,southbound,merpeople,8/1398
5785,83%,northbound,water elemental,8/1398
5786,33%,southbound,pirates,8/1398
5787,61%,southbound,merpeople,9/1398
5788,11%,southbound,sharks,9/1398
5789,17%,northbound,pirates,9/1398
5790,57%,southbound,merpeople,9/1398
5791,85%,northbound,water elemental,9/1398
5792,13%,southbound,pirates,9/1398
5793,37%,southbound,pirates,9/1398
5794,48%,northbound,merpeople,9/1398
5795,26%,northbound,sharks,9/1398
5796,50%,southbound,pirates,9/1398
5797,30%,northbound,pirates,9/1398
5798,59%,southbound,kraken,9/1398
5799,31%,northbound,pirates,9/1398
5800,71%,southbound,kraken,9/1398
5801,11%,northbound,sharks,9/1398
5802,22%,northbound,sharks,9/1398
5803,100%+,southbound,unknown,9/1398
5804,28%,northbound,merpeople,9/1398
5805,39%,southbound,sharks,9/1398
5806,57%,northbound,merpeople,9/1398
5807,100%+,northbound,unknown,9/1398
5808,43%,southbound,pirates,9/1398
5809,40%,northbound,pirates,9/1398
5810,80%,southbound,nessie,9/1398
5811,66%,northbound,merpeople,9/1398
5812,14%,southbound,crabmonsters,9/1398
5813,79%,southbound,demon whale,9/1398
5814,76%,northbound,water elemental,9/1398
5815,28%,southbound,sharks,9/1398
5816,18%,southbound,pirates,9/1398
5817,12%,southbound,crabmonsters,9/1398
5818,52%,southbound,merpeople,9/1398
5819,87%,northbound,nessie,9/1398
5820,16%,southbound,sharks,9/1398
5821,48%,northbound,merpeople,9/1398
5822,13%,southbound,pirates,9/1398
5823,5%,northbound,pirates,9/1398
5824,54%,northbound,kraken,9/1398
5825,16%,northbound,pirates,9/1398
5826,14%,northbound,pirates,9/1398
5827,43%,northbound,merpeople,9/1398
5828,17%,northbound,sharks,9/1398
5829,25%,southbound,merpeople,9/1398
5830,100%+,northbound,unknown,9/1398
5831,100%+,southbound,unknown,9/1398
5832,24%,southbound,pirates,9/1398
5833,37%,southbound,sharks,9/1398
5834,28%,southbound,merpeople,9/1398
5835,58%,southbound,kraken,9/1398
5836,8%,southbound,pirates,9/1398
5837,100%+,southbound,unknown,9/1398
5838,28%,northbound,sharks,9/1398
5839,21%,southbound,sharks,9/1398
5840,84%,northbound,nessie,9/1398
5841,51%,southbound,kraken,9/1398
5842,47%,southbound,merpeople,9/1398
5843,52%,southbound,kraken,9/1398
5844,49%,southbound,pirates,9/1398
5845,17%,northbound,harpy,9/1398
5846,63%,northbound,kraken,9/1398
5847,23%,northbound,pirates,9/1398
5848,31%,southbound,pirates,9/1398
5849,49%,southbound,kraken,9/1398
5850,5%,southbound,harpy,9/1398
5851,35%,southbound,sharks,9/1398
5852,39%,southbound,merpeople,9/1398
5853,31%,northbound,sharks,9/1398
5854,33%,northbound,pirates,9/1398
5855,12%,northbound,pirates,9/1398
5856,17%,southbound,harpy,9/1398
5857,57%,southbound,kraken,9/1398
5858,13%,southbound,pirates,9/1398
5859,74%,northbound,crabmonsters,9/1398
5860,14%,northbound,pirates,9/1398
5861,35%,southbound,sharks,9/1398
5862,91%,northbound,nessie,9/1398
5863,17%,northbound,sharks,9/1398
5864,79%,northbound,water elemental,9/1398
5865,17%,northbound,pirates,9/1398
5866,86%,southbound,nessie,9/1398
5867,11%,southbound,pirates,9/1398
5868,15%,northbound,pirates,9/1398
5869,100%+,northbound,unknown,9/1398
5870,11%,southbound,sharks,9/1398
5871,22%,southbound,pirates,9/1398
5872,21%,northbound,sharks,9/1398
5873,35%,northbound,merpeople,9/1398
5874,61%,northbound,kraken,9/1398
5875,100%+,northbound,unknown,9/1398
5876,36%,southbound,pirates,9/1398
5877,19%,northbound,crabmonsters,9/1398
5878,33%,northbound,pirates,9/1398
5879,37%,northbound,pirates,9/1398
5880,45%,northbound,pirates,9/1398
5881,88%,southbound,nessie,9/1398
5882,14%,southbound,pirates,9/1398
5883,84%,northbound,water elemental,9/1398
5884,100%+,northbound,unknown,9/1398
5885,14%,northbound,harpy,9/1398
5886,47%,southbound,kraken,9/1398
5887,47%,southbound,sharks,9/1398
5888,60%,southbound,merpeople,9/1398
5889,47%,southbound,pirates,9/1398
5890,11%,northbound,pirates,9/1398
5891,19%,southbound,harpy,9/1398
5892,100%+,northbound,unknown,9/1398
5893,85%,southbound,water elemental,9/1398
5894,60%,southbound,merpeople,9/1398
5895,37%,southbound,sharks,9/1398
5896,35%,southbound,merpeople,9/1398
5897,26%,southbound,sharks,9/1398
5898,23%,southbound,harpy,9/1398
5899,20%,southbound,crabmonsters,9/1398
5900,79%,northbound,nessie,9/1398
5901,19%,southbound,pirates,9/1398
5902,55%,northbound,kraken,9/1398
5903,18%,southbound,harpy,9/1398
5904,17%,southbound,sharks,9/1398
5905,41%,northbound,pirates,9/1398
5906,100%+,southbound,unknown,9/1398
5907,72%,southbound,merpeople,9/1398
5908,41%,northbound,pirates,9/1398
5909,38%,southbound,sharks,9/1398
5910,75%,northbound,water elemental,9/1398
5911,15%,northbound,pirates,9/1398
5912,11%,northbound,sharks,9/1398
5913,65%,southbound,kraken,9/1398
5914,71%,southbound,merpeople,9/1398
5915,11%,northbound,harpy,9/1398
5916,19%,southbound,pirates,9/1398
5917,16%,southbound,sharks,9/1398
5918,41%,northbound,pirates,9/1398
5919,38%,southbound,pirates,9/1398
5920,14%,southbound,sharks,9/1398
5921,38%,northbound,pirates,9/1398
5922,11%,northbound,harpy,9/1398
5923,6%,northbound,harpy,9/1398
5924,12%,northbound,sharks,9/1398
5925,100%+,northbound,unknown,9/1398
5926,26%,northbound,sharks,9/1398
5927,19%,northbound,pirates,9/1398
5928,47%,northbound,pirates,9/1398
5929,84%,southbound,nessie,9/1398
5930,14%,northbound,harpy,9/1398
5931,43%,southbound,pirates,9/1398
5932,100%+,southbound,unknown,9/1398
5933,15%,southbound,pirates,9/1398
5934,58%,southbound,merpeople,9/1398
5935,40%,northbound,sharks,9/1398
5936,82%,southbound,nessie,9/1398
5937,51%,southbound,crabmonsters,9/1398
5938,10%,southbound,harpy,9/1398
5939,59%,southbound,merpeople,9/1398
5940,100%+,northbound,unknown,9/1398
5941,21%,southbound,sharks,9/1398
5942,80%,northbound,water elemental,9/1398
5943,21%,southbound,sharks,9/1398
5944,20%,southbound,sharks,9/1398
5945,84%,southbound,nessie,9/1398
5946,76%,southbound,merpeople,9/1398
5947,14%,northbound,pirates,9/1398
5948,100%+,northbound,unknown,9/1398
5949,100%+,southbound,unknown,9/1398
5950,37%,northbound,pirates,9/1398
5951,16%,northbound,pirates,9/1398
5952,77%,northbound,demon whale,9/1398
5953,17%,southbound,harpy,9/1398
5954,73%,southbound,merpeople,9/1398
5955,82%,northbound,water elemental,9/1398
5956,72%,northbound,merpeople,9/1398
5957,11%,southbound,pirates,9/1398
5958,76%,southbound,water elemental,9/1398
5959,87%,northbound,nessie,9/1398
5960,35%,southbound,merpeople,9/1398
5961,39%,southbound,crabmonsters,9/1398
5962,80%,southbound,water elemental,9/1398
5963,98%,southbound,demon whale,10/1398
5964,100%+,southbound,unknown,10/1398
5965,45%,southbound,pirates,10/1398
5966,7%,northbound,harpy,10/1398
5967,26%,southbound,sharks,10/1398
5968,7%,southbound,sharks,10/1398
5969,41%,southbound,pirates,10/1398
5970,75%,southbound,water elemental,10/1398
5971,58%,southbound,kraken,10/1398
5972,68%,southbound,kraken,10/1398
5973,31%,southbound,merpeople,10/1398
5974,66%,southbound,merpeople,10/1398
5975,33%,northbound,pirates,10/1398
5976,32%,southbound,sharks,10/1398
5977,21%,southbound,pirates,10/1398
5978,11%,northbound,pirates,10/1398
5979,100%+,northbound,unknown,10/1398
5980,20%,southbound,sharks,10/1398
5981,80%,southbound,water elemental,10/1398
5982,41%,northbound,pirates,10/1398
5983,35%,southbound,pirates,10/1398
5984,50%,southbound,merpeople,10/1398
5985,87%,northbound,nessie,10/1398
5986,18%,northbound,pirates,10/1398
5987,21%,northbound,harpy,10/1398
5988,25%,northbound,sharks,10/1398
5989,38%,northbound,pirates,10/1398
5990,27%,southbound,sharks,10/1398
5991,47%,northbound,pirates,10/1398
5992,100%+,southbound,unknown,10/1398
5993,21%,southbound,pirates,10/1398
5994,50%,southbound,merpeople,10/1398
5995,35%,northbound,kraken,10/1398
5996,100%+,southbound,unknown,10/1398
5997,43%,northbound,pirates,10/1398
5998,35%,southbound,merpeople,10/1398
